Code,Product & Net Content,MRP(Rs.),DP(Rs.),BV,PV,,,,,,,,,,,,,,,,,,,,
UC4602,Warm (30 g),495,413,247.8,9.18,,,,,,,,,,,,,,,,,,,,
UC4701,White Ice (9 g),425,354,212.4,7.87,,,,,,,,,,,,,,,,,,,,
UC4702,Light Bisque (9 g),425,354,212.4,7.87,,,,,,,,,,,,,,,,,,,,
UC4703,Natural Finish (9 g),425,354,212.4,7.87,,,,,,,,,,,,,,,,,,,,
UC4305,Ivory Light 01 (25 ml),1199,999,599.4,22.2,,,,,,,,,,,,,,,,,,,,
UC4306,Beige Light 02 (25 ml),1199,999,599.4,22.2,,,,,,,,,,,,,,,,,,,,
UC4307,Soft Shell 03 (25 ml),1199,999,599.4,22.2,,,,,,,,,,,,,,,,,,,,
UC9017,Pro Wear Brow Pencil (1.08 g),600,520,312,11.56,,,,,,,,,,,,,,,,,,,,
UC9018,Pro Micellar Bi-Phase Makeup Cleanser (150ml),499,434,260.4,9.64,,,,,,,,,,,,,,,,,,,,
UC9019,Instant Radiance Illuminating Lotion (30ml),1399,1216,729.6,27.02,,,,,,,,,,,,,,,,,,,,
UC4204,Ivory Light 01 (9 g),899,782,469.2,17.38,,,,,,,,,,,,,,,,,,,,
UC4205,Beige Light 02 (9 g),899,782,469.2,17.38,,,,,,,,,,,,,,,,,,,,
UC4206,Soft Shell 03 (9 g),899,782,469.2,17.38,,,,,,,,,,,,,,,,,,,,
UC4801,30 N wipes,255,213,127.8,4.73,,,,,,,,,,,,,,,,,,,,
UC9000,Blackest Black (0.35 g),360,300,180,6.67,,,,,,,,,,,,,,,,,,,,
UC9999,Black (9 ml),595,496,297.6,11.02,,,,,,,,,,,,,,,,,,,,
UC7001,Daring Smokey (8 g),1400,1167,700.2,25.93,,,,,,,,,,,,,,,,,,,,
UC7002,Everlasting Fun (8 g),1400,1167,700.2,25.93,,,,,,,,,,,,,,,,,,,,
0001ML,Super Black (2.5 ml),700,593,355.8,13.18,,,,,,,,,,,,,,,,,,,,
0002ML,Super Blue (2.5 ml) - TILL STOCKS LAST,700,593,355.8,13.18,,,,,,,,,,,,,,,,,,,,
UC9013,Jet Black 001 (1 ml),630,525,315,11.67,,,,,,,,,,,,,,,,,,,,
UC9014,Starry Night Blue 002 (1 ml) - TILL STOCKS LAST,630,525,315,11.67,,,,,,,,,,,,,,,,,,,,
UC9015,Deep Brown 003 (1 ml) - TILL STOCKS LAST,630,525,315,11.67,,,,,,,,,,,,,,,,,,,,
UC9001,Deep Black 001 (1.2g),535,445,267,9.89,,,,,,,,,,,,,,,,,,,,
UC9002,Aqua Black 002 (1.2g),535,445,267,9.89,,,,,,,,,,,,,,,,,,,,
UC9003,Royal Blue 003 (1.2g),535,445,267,9.89,,,,,,,,,,,,,,,,,,,,
UC9004,Cobalt Blue 004 (1.2g),535,445,267,9.89,,,,,,,,,,,,,,,,,,,,
UC9005,Gypsy Teal 005 (1.2g),535,445,267,9.89,,,,,,,,,,,,,,,,,,,,
UC9006,Go Green 006 (1.2g),535,445,267,9.89,,,,,,,,,,,,,,,,,,,,
UC9007,Brownie 007 (1.2g),535,445,267,9.89,,,,,,,,,,,,,,,,,,,,
UC9008,Copper 008 (1.2g) - TILL STOCKS LAST,535,445,267,9.89,,,,,,,,,,,,,,,,,,,,
UC9009,Silver Shine 009 (1.2g),535,445,267,9.89,,,,,,,,,,,,,,,,,,,,
UC9010,Goldmine 010 (1.2g),535,445,267,9.89,,,,,,,,,,,,,,,,,,,,
UC9011,Slate Grey 011 (1.2g),535,445,267,9.89,,,,,,,,,,,,,,,,,,,,
UC9012,Deep Purple 012 (1.2g),535,445,267,9.89,,,,,,,,,,,,,,,,,,,,
UC5001,Perfect Matte Lipstick 10 in 1 Sampler Set of Corals; Reds & Browns (10 N x 0.6g),299,249,49.8,1.84,,,,,,,,,,,,,,,,,,,,
UC5002,Perfect Matte Lipstick 10 in 1 Sampler Set of Pinks; Mauves & Berries (10 N x 0.6g),299,249,49.8,1.84,,,,,,,,,,,,,,,,,,,,
UC5003,Crème Glam Lipstick 10 in 1 Sampler Set of Corals; Reds & Browns (10 N x 0.6g),299,249,49.8,1.84,,,,,,,,,,,,,,,,,,,,
UC5004,Crème Glam Lipstick 10 in 1 Sampler Set of Pinks; Mauves & Berries (10 N x 0.6g),299,249,49.8,1.84,,,,,,,,,,,,,,,,,,,,
UC5005,Perfect Matte & Crème Glam Mix Palette Lipstick 10 in 1 Sampler (10 N x 0.6g),299,249,49.8,1.84,,,,,,,,,,,,,,,,,,,,
UC9021,Urban Color Flawless Finish Beauty Sponge-Black (1 N),199,173,86.52,3.2,,,,,,,,,,,,,,,,,,,,
UC9022,Urban Color Flawless Finish Beauty Sponge-Pink (1 N),199,173,86.52,3.2,,,,,,,,,,,,,,,,,,,,
UC8001,Urban Color Travel Buddy Nail Lacquer Wipes (30 N),150,130,65.22,2.42,,,,,,,,,,,,,,,,,,,,
UC9020,Urban Color Shape Up Crystal Nail Filer-Black (1 N),175,152,60.87,2.25,,,,,,,,,,,,,,,,,,,,
UC9023,Urban Color Shape Up Crystal Nail Filer-Pink (1 N),175,152,60.87,2.25,,,,,,,,,,,,,,,,,,,,
UC9016,Urban Color Pencil Sharpener (1 N),175,125,62.5,2.31,,,,,,,,,,,,,,,,,,,,
0001LB,Urban Color Retractable Lip Brush 1 N (Till stocks last),390,325,65,2.41,,,,,,,,,,,,,,,,,,,,
0001DT,Urban Color Nail Lacquer Display Tray 1 N (Till stocks last),710,710,71,2.63,,,,,,,,,,,,,,,,,,,,
UC4901,Pro White Fresh Radiance Day Cream (30 g),1599,1390,834,30.89,,,,,,,,,,,,,,,,,,,,
UC4902,Pro White Replenishing Night Cream (30 g),1599,1390,834,30.89,,,,,,,,,,,,,,,,,,,,
UC4903,Pro White Fresh Radiance Lotion (30 ml),1699,1477,886.2,32.82,,,,,,,,,,,,,,,,,,,,
UC4904,Pro White Anti-Spot Radiance Serum (10 ml),499,434,260.4,9.64,,,,,,,,,,,,,,,,,,,,
UC4905,Pro White Advance Anti-Wrinkle & Nourishing Tencel Sheet Mask with Collagen (25 ml),199,173,103.83,3.85,,,,,,,,,,,,,,,,,,,,
UC4906,Pro White Super Soothing & Anti - Ageing Tencel Sheet Mask with Aloe (25 ml),199,173,103.83,3.85,,,,,,,,,,,,,,,,,,,,
UC5904,Power Lift Cleanser (80 ml),999,869,521.22,19.3,,,,,,,,,,,,,,,,,,,,
UC5905,Pore Minimising Mist (100 ml),999,869,521.22,19.3,,,,,,,,,,,,,,,,,,,,
UC5901,Day Cream SPF 15 (30 g),2299,1999,1199.48,44.43,,,,,,,,,,,,,,,,,,,,
UC5902,Night Cream (30 g),2299,1999,1199.48,44.43,,,,,,,,,,,,,,,,,,,,
UC5903,Collagen Boosting Serum (18 ml),1299,1129,677.74,25.1,,,,,,,,,,,,,,,,,,,,
UC5906,Under - Eye Recovery Concentrate (12 ml),1299,1129,677.74,25.1,,,,,,,,,,,,,,,,,,,,
UCL201,3 in 1 Cleanser; Makeup Remover & Hydrator (45 g),799,700,421,15.58,,,,,,,,,,,,,,,,,,,,
UCL701,Real Red (4 ml),120,99,59.4,2.2,,,,,,,,,,,,,,,,,,,,
UCL702,Real Maroon (4 ml),120,99,59.4,2.2,,,,,,,,,,,,,,,,,,,,
AG0001,Active - 80 (3 N x 100ml),369,310,186,6.89,,,,,,,,,,,,,,,,,,,,
AG0002,Active - 80 (500ml),507,441,264.6,9.8,,,,,,,,,,,,,,,,,,,,
AG0003,Active - 80 (5L),3549,3086,1851.6,68.58,,,,,,,,,,,,,,,,,,,,
AG0004,Active - 80 Gold (500ml),599,521,312.6,11.58,,,,,,,,,,,,,,,,,,,,
AG0005,Activzyme (3 N x 100ml),429,374,224.4,8.31,,,,,,,,,,,,,,,,,,,,
AG0006,Activzyme (500ml),610,530,318,11.78,,,,,,,,,,,,,,,,,,,,
AG0008,Activmax (3 N x 100ml),546,474,284.4,10.53,,,,,,,,,,,,,,,,,,,,
AG0009,Activmax (500ml),744,647,388.2,14.38,,,,,,,,,,,,,,,,,,,,
MJ0003,Chandini (Necklace 1N + Earring 2N),3349,3045,1218,45.11,,,,,,,,,,,,,,,,,,,,
MJ0013,Kamal Jhumki Pink (Earring 2N),3349,3045,1218,45.11,,,,,,,,,,,,,,,,,,,,
MJ0004,Kamal Jhumki Green (Earring 2N),3349,3045,1218,45.11,,,,,,,,,,,,,,,,,,,,
MJ0007,Tara (Earring 2N),1249,1135,454,16.81,,,,,,,,,,,,,,,,,,,,
MJ0008,Trishna (Necklace 1N + Earring 2N),4999,4545,1818,67.33,,,,,,,,,,,,,,,,,,,,
MJ0009,Mohini (Earring 2N),2499,2272,908.8,33.66,,,,,,,,,,,,,,,,,,,,
MJ0011,Manik Panna Mala (Necklace 1N),1499,1317,526.8,19.51,,,,,,,,,,,,,,,,,,,,
MJ0012,Mayuri (Earring 2N),2699,2454,981.6,36.36,,,,,,,,,,,,,,,,,,,,
MJ0018,Tarang (Necklace 1N + Earring 2N),2849,2590,1036,38.37,,,,,,,,,,,,,,,,,,,,
MJR120,"Kundan Kangan Red (Bangles 2N - 2.8"")",1599,1454,581.6,21.54,,,,,,,,,,,,,,,,,,,,
MJ0020,"Kundan Kangan Red (Bangles 2N - 2.6"")",1599,1454,581.6,21.54,,,,,,,,,,,,,,,,,,,,
MJR020,"Kundan Kangan Red (Bangles 2N - 2.4"")",1599,1454,581.6,21.54,,,,,,,,,,,,,,,,,,,,
MJG121,"Kundan Kangan Green (Bangles 2N - 2.8"")",1599,1454,581.6,21.54,,,,,,,,,,,,,,,,,,,,
MJ0021,"Kundan Kangan Green (Bangles 2N - 2.6"")",1599,1454,581.6,21.54,,,,,,,,,,,,,,,,,,,,
MJG021,"Kundan Kangan Green (Bangles 2N - 2.4"")",1599,1454,581.6,21.54,,,,,,,,,,,,,,,,,,,,
MJ0022,Nayantara (Necklace 1N + Earring 2N),2200,2000,800,29.63,,,,,,,,,,,,,,,,,,,,
MJ0014,Chand Bala (Earring 2N),1799,1635,654,24.22,,,,,,,,,,,,,,,,,,,,
MJ0043,Phool (Bracelet 1N) NEW,1299,1180.91,472.36,17.49,,,,,,,,,,,,,,,,,,,,
MJ0045,Rani (Pendant + Earring Set 3N) NEW,3999,3635.45,1454.18,53.86,,,,,,,,,,,,,,,,,,,,
MJ0049,"Kohinoor (Bangles 2N - 2.6"")",1899,1726.36,690.55,25.58,,,,,,,,,,,,,,,,,,,,
MJ0050,"Kohinoor (Bangles 2N - 2.4"")",1899,1726.36,690.55,25.58,,,,,,,,,,,,,,,,,,,,
MJ0001,Hansani (Pendent 1N + Earring 2N),1699,1545,618,22.89,,,,,,,,,,,,,,,,,,,,
MJ0002,Sia (Pendent 1N + Earring 2N),1699,1545,618,22.89,,,,,,,,,,,,,,,,,,,,
MJ0005,Pia (Bracelet 1N),849,772,308.8,11.44,,,,,,,,,,,,,,,,,,,,
MJ0006,Mehar (Bracelet 1N),949,863,345.2,12.79,,,,,,,,,,,,,,,,,,,,
MJ0010,Maya (Earring 2N),1399,1272,508.8,18.84,,,,,,,,,,,,,,,,,,,,
MJ0015,Dia (Necklace 1N + Earring 2N),2000,1818,727.2,26.93,,,,,,,,,,,,,,,,,,,,
MJ0016,Divya (Necklace 1N + Earring 2N),2399,2181,872.4,32.31,,,,,,,,,,,,,,,,,,,,
MJ0017,Moti Mala (Necklace 1N + Earring 2N),2199,1999,799.6,29.61,,,,,,,,,,,,,,,,,,,,
MJ0019,Heer (Earring 2N),1399,1272,508.8,18.84,,,,,,,,,,,,,,,,,,,,
MJ0041,Sitara (Necklace 1N + Earring 2N),2499,2272,908.8,33.66,,,,,,,,,,,,,,,,,,,,
MJ0044,Kiran (Earring 2N),1500,1363.64,545.45,20.2,,,,,,,,,,,,,,,,,,,,
MJ0046,Mahi (Bracelet Hath Pan 1N),1999,1817.27,726.91,26.92,,,,,,,,,,,,,,,,,,,,
MJ0047,Moh (Bracelet 1N),1099,999.09,399.64,14.8,,,,,,,,,,,,,,,,,,,,
MJ0048,Jahaan (Pendant 1N + Earring 2N),3999,3635.45,1454.18,53.86,,,,,,,,,,,,,,,,,,,,
MJ0023,Naaz Ruby Red (Earring 2N),1699,1545,618,22.89,,,,,,,,,,,,,,,,,,,,
MJ0024,Ada Ruby Red (Cuff 1N),3999,3635,1454,53.85,,,,,,,,,,,,,,,,,,,,
MJ0025,Ada Emerald Green (Cuff 1N),3999,3635,1454,53.85,,,,,,,,,,,,,,,,,,,,
MJ0026,Naaz Blue Sapphire (Earring 2N),1699,1545,618,22.89,,,,,,,,,,,,,,,,,,,,
MJ0027,Azra Ruby Red (Earring 2N),1799,1635,654,24.22,,,,,,,,,,,,,,,,,,,,
MJ0042,Azra Emerald Green (Earring 2N),1799,1635,654,24.22,,,,,,,,,,,,,,,,,,,,
MJ0028,Noor Ruby Red (Earring 2N),1099,999,399.6,14.8,,,,,,,,,,,,,,,,,,,,
MJ0029,Saira (Earring 2N),1099,999,399.6,14.8,,,,,,,,,,,,,,,,,,,,
MJ0030,Shabnam Rose Quartz (Earring 2N),1099,999,399.6,14.8,,,,,,,,,,,,,,,,,,,,
MJ0031,Zeenat (Bracelet 1N),1999,1817,726.8,26.92,,,,,,,,,,,,,,,,,,,,
MJ0032,Nausheen (Bracelet 1N),1999,1817,726.8,26.92,,,,,,,,,,,,,,,,,,,,
MJ0033,Zoya (Earring 2N),899,817,326.8,12.1,,,,,,,,,,,,,,,,,,,,
MJ0034,Nazia Onyx Pink (Earring 2N),1299,1181,472.4,17.5,,,,,,,,,,,,,,,,,,,,
MJ0036,Noor Emerald Green (Earring 2N),1099,999,399.6,14.8,,,,,,,,,,,,,,,,,,,,
MJ0037,Nazia Onyx Blue (Earring 2N),1299,1181,472.4,17.5,,,,,,,,,,,,,,,,,,,,
MJ0038,Ada Antique (Cuff 1N),3999,3635,1454,53.85,,,,,,,,,,,,,,,,,,,,
MJ0039,Shabnam Aqua (Earring 2N),899,817,326.8,12.1,,,,,,,,,,,,,,,,,,,,
MJ0040,Fiza (Earring 2N),899,817,326.8,12.1,,,,,,,,,,,,,,,,,,,,
601014,Modicare Consultant Bundi (Medium),1950,1950,390,14.44,,,,,,,,,,,,,,,,,,,,
601015,Modicare Consultant Bundi (Large),1950,1950,390,14.44,,,,,,,,,,,,,,,,,,,,
601016,Modicare Consultant Bundi (XL),1950,1950,390,14.44,,,,,,,,,,,,,,,,,,,,
601017,Modicare Consultant Bundi (XXL),1950,1950,390,14.44,,,,,,,,,,,,,,,,,,,,
601018,Modicare Consultant Bundi (XXXL),1950,1950,390,14.44,,,,,,,,,,,,,,,,,,,,
601000,Modicare Consultant Kurti+Leggings (Small),1700,1700,340,12.59,,,,,,,,,,,,,,,,,,,,
601005,Modicare Consultant Kurti+Leggings (Medium),1700,1700,340,12.59,,,,,,,,,,,,,,,,,,,,
601006,Modicare Consultant Kurti+Leggings (Large),1700,1700,340,12.59,,,,,,,,,,,,,,,,,,,,
601007,Modicare Consultant Kurti+Leggings (XL),1700,1700,340,12.59,,,,,,,,,,,,,,,,,,,,
601008,Modicare Consultant Kurti+Leggings (XXL),1700,1700,340,12.59,,,,,,,,,,,,,,,,,,,,
601001,Modicare Consultant Saree With Blouse Piece,1700,1700,340,12.59,,,,,,,,,,,,,,,,,,,,
605000,Azadi Medal (1 N),75,75,15,0.56,,,,,,,,,,,,,,,,,,,,
600902,Modicare Backpack (1 N),975,975,195,7.22,,,,,,,,,,,,,,,,,,,,
600903,Modicare Mug (1 N),130,130,26,0.96,,,,,,,,,,,,,,,,,,,,
600862,Modicare Car Sticker (10 N),220,220,44,1.63,,,,,,,,,,,,,,,,,,,,
600863,Modicare Bike Sticker (10 N),90,90,18,0.67,,,,,,,,,,,,,,,,,,,,
600824,Modicare T-Shirt (1 N),795,795,159,5.89,,,,,,,,,,,,,,,,,,,,
600836,Modicare Carry Bag (1 N),5,5,0,0,,,,,,,,,,,,,,,,,,,,
600848,Atoot Bandhan Button Buddies (I Love Modicare & I Am Priceless) (2 N),40,40,8,0.3,,,,,,,,,,,,,,,,,,,,
600846,Atoot Bandhan Mouli (1 N),25,25,5,0.19,,,,,,,,,,,,,,,,,,,,
600901,Modicare Demo Kit (1 N),495,495,198,7.33,,,,,,,,,,,,,,,,,,,,
606035,5 in 1 Azadi Catalogue - August 2020 (1 N),75,75,0,0,,,,,,,,,,,,,,,,,,,,
606041,Sapne (Product Catalogue) - Mizo (1 N),35,35,0,0,,,,,,,,,,,,,,,,,,,,
600920,Sapne (Product Catalogue) - English (1 N),32,32,6.4,0.24,,,,,,,,,,,,,,,,,,,,
601023,Urban Color (Product Catalogue)-English (1 N),30,30,6,0.22,,,,,,,,,,,,,,,,,,,,
601035,Arogya-The Health & Wellness Guide English (1 N),49,49,0,0,,,,,,,,,,,,,,,,,,,,
601036,Arogya-The Health & Wellness Guide Hindi (1 N),49,49,0,0,,,,,,,,,,,,,,,,,,,,
606036,Modicare Digital Product Booklet English (1 N),12,10,0,0,,,,,,,,,,,,,,,,,,,,
606037,Modicare Digital Product Booklet Hindi (1 N),12,10,0,0,,,,,,,,,,,,,,,,,,,,
606021,Well- Wheel of Nutrition English (1 N),20,20,0,0,,,,,,,,,,,,,,,,,,,,
606022,Well- Wheel of Nutrition Hindi (1 N),20,20,0,0,,,,,,,,,,,,,,,,,,,,
606023,Product Pocket Brochure - Home Care English (1 N),15,15,0,0,,,,,,,,,,,,,,,,,,,,
606024,Product Pocket Brochure - Home Care Hindi (1 N),15,15,0,0,,,,,,,,,,,,,,,,,,,,
606030,Flip Chart - Parivartan & Shuruaat English (1 N),300,300,75,2.77,,,,,,,,,,,,,,,,,,,,
601032,Urban Color Intense Impact Lipstick Shade Card (1 N),6,6,1.2,0.04,,,,,,,,,,,,,,,,,,,,
600725,Consultant Application Form (2 N),20,20,0,0,,,,,,,,,,,,,,,,,,,,
606033,Consultant Product Order Form,0,0,0,0,,,,,,,,,,,,,,,,,,,,
606034,Customer Price List,0,0,0,0,,,,,,,,,,,,,,,,,,,,
WAT001,SM Men's (Day & Date) Two Tone Rose Gold Watch (1 N),3449,2999,1499.5,55.54,,,,,,,,,,,,,,,,,,,,
WAT002,SM Men's (Day & Date) Two Tone Gold Watch (1 N),3449,2999,1499.5,55.54,,,,,,,,,,,,,,,,,,,,
WAT003,SM Men's (Day & Date) Black Dial Leather Strap Watch (1N),2599,2249,1124.5,41.65,,,,,,,,,,,,,,,,,,,,
WAT004,SM Men's (Date) Gold Watch (1 N),2999,2599,1299.5,48.13,,,,,,,,,,,,,,,,,,,,
WAT005,SM Men's (Day & Date) Square Two Tone Gold Watch (1 N),2999,2599,1299.5,48.13,,,,,,,,,,,,,,,,,,,,
WAT006,SM His N Her Rose Gold Combo Watch Pack (2 N),5500,4799,2399.5,88.87,,,,,,,,,,,,,,,,,,,,
WAT007,SM Ladies Rose Gold Watch (1 N),2999,2599,1299.5,48.13,,,,,,,,,,,,,,,,,,,,
WAT008,SM Ladies Rose Gold Watch (1 N),2599,2249,1124.5,41.65,,,,,,,,,,,,,,,,,,,,
WAT010,SM Ladies Stone Embedded Two Tone Gold Watch (1 N),2599,2249,1124.5,41.65,,,,,,,,,,,,,,,,,,,,
WAT011,SM Ladies Stone Embedded Two Tone Gold Watch With Mesh Metal Strap (1 N),2999,2599,1299.5,48.13,,,,,,,,,,,,,,,,,,,,
MG0001,Mighty Guard Mobile Security (1 N),799,665.83,399,14.78,,,,,,,,,,,,,,,,,,,,
600900,Modicare Consultant Bundi (Small),1950,1950,390,14.44,,,,,,,,,,,,,,,,,,,,
601014,Modicare Consultant Bundi (Medium),1950,1950,390,14.44,,,,,,,,,,,,,,,,,,,,
601015,Modicare Consultant Bundi (Large),1950,1950,390,14.44,,,,,,,,,,,,,,,,,,,,
601016,Modicare Consultant Bundi (XL),1950,1950,390,14.44,,,,,,,,,,,,,,,,,,,,
601017,Modicare Consultant Bundi (XXL),1950,1950,390,14.44,,,,,,,,,,,,,,,,,,,,
601018,Modicare Consultant Bundi (XXXL),1950,1950,390,14.44,,,,,,,,,,,,,,,,,,,,
601000,Modicare Consultant Kurti+Leggings (Small),1700,1700,340,12.59,,,,,,,,,,,,,,,,,,,,
601005,Modicare Consultant Kurti+Leggings (Medium),1700,1700,340,12.59,,,,,,,,,,,,,,,,,,,,
601006,Modicare Consultant Kurti+Leggings (Large),1700,1700,340,12.59,,,,,,,,,,,,,,,,,,,,
601007,Modicare Consultant Kurti+Leggings (XL),1700,1700,340,12.59,,,,,,,,,,,,,,,,,,,,
601008,Modicare Consultant Kurti+Leggings (XXL),1700,1700,340,12.59,,,,,,,,,,,,,,,,,,,,
601001,Modicare Consultant Saree With Blouse Piece,1700,1700,340,12.59,,,,,,,,,,,,,,,,,,,,
605000,Azadi Medal (1 N),75,75,15,0.56,,,,,,,,,,,,,,,,,,,,
600902,Modicare Backpack (1 N),975,975,195,7.22,,,,,,,,,,,,,,,,,,,,
600903,Modicare Mug (1 N),130,130,26,0.96,,,,,,,,,,,,,,,,,,,,
600862,Modicare Car Sticker (10 N),220,220,44,1.63,,,,,,,,,,,,,,,,,,,,
600863,Modicare Bike Sticker (10 N),90,90,18,0.67,,,,,,,,,,,,,,,,,,,,
600824,Modicare T-Shirt (1 N),795,795,159,5.89,,,,,,,,,,,,,,,,,,,,
600836,Modicare Carry Bag (1 N),5,5,0,0,,,,,,,,,,,,,,,,,,,,
600848,Atoot Bandhan Button Buddies (I Love Modicare & I Am Priceless) (2 N),40,40,8,0.3,,,,,,,,,,,,,,,,,,,,
600846,Atoot Bandhan Mouli (1 N),25,25,5,0.19,,,,,,,,,,,,,,,,,,,,
600901,Modicare Demo Kit (1 N),495,495,198,7.33,,,,,,,,,,,,,,,,,,,,
606035,5 in 1 Azadi Catalogue - August 2020 (1 N),75,75,0,0,,,,,,,,,,,,,,,,,,,,
606041,Sapne (Product Catalogue) - Mizo (1 N),35,35,0,0,,,,,,,,,,,,,,,,,,,,
600920,Sapne (Product Catalogue) - English (1 N),32,32,6.4,0.24,,,,,,,,,,,,,,,,,,,,
601023,Urban Color (Product Catalogue)-English (1 N),30,30,6,0.22,,,,,,,,,,,,,,,,,,,,
601035,Arogya-The Health & Wellness Guide English (1 N),49,49,0,0,,,,,,,,,,,,,,,,,,,,
601036,Arogya-The Health & Wellness Guide Hindi (1 N),49,49,0,0,,,,,,,,,,,,,,,,,,,,
606036,Modicare Digital Product Booklet English (1 N),12,10,0,0,,,,,,,,,,,,,,,,,,,,
606037,Modicare Digital Product Booklet Hindi (1 N),12,10,0,0,,,,,,,,,,,,,,,,,,,,
606021,Well- Wheel of Nutrition English (1 N),20,20,0,0,,,,,,,,,,,,,,,,,,,,
606022,Well- Wheel of Nutrition Hindi (1 N),20,20,0,0,,,,,,,,,,,,,,,,,,,,
606023,Product Pocket Brochure - Home Care English (1 N),15,15,0,0,,,,,,,,,,,,,,,,,,,,
606024,Product Pocket Brochure - Home Care Hindi (1 N),15,15,0,0,,,,,,,,,,,,,,,,,,,,
606030,Flip Chart - Parivartan & Shuruaat English (1 N),300,300,75,2.77,,,,,,,,,,,,,,,,,,,,
601032,Urban Color Intense Impact Lipstick Shade Card (1 N),6,6,1.2,0.04,,,,,,,,,,,,,,,,,,,,
600725,Consultant Application Form (2 N),20,20,0,0,,,,,,,,,,,,,,,,,,,,
606033,Consultant Product Order Form,0,0,0,0,,,,,,,,,,,,,,,,,,,,
606034,Customer Price List,0,0,0,0,,,,,,,,,,,,,,,,,,,,
WAT001,SM Men's (Day & Date) Two Tone Rose Gold Watch (1 N),3449,2999,1499.5,55.54,,,,,,,,,,,,,,,,,,,,
WAT002,SM Men's (Day & Date) Two Tone Gold Watch (1 N),3449,2999,1499.5,55.54,,,,,,,,,,,,,,,,,,,,
WAT003,SM Men's (Day & Date) Black Dial Leather Strap Watch (1N),2599,2249,1124.5,41.65,,,,,,,,,,,,,,,,,,,,
WAT004,SM Men's (Date) Gold Watch (1 N),2999,2599,1299.5,48.13,,,,,,,,,,,,,,,,,,,,
WAT005,SM Men's (Day & Date) Square Two Tone Gold Watch (1 N),2999,2599,1299.5,48.13,,,,,,,,,,,,,,,,,,,,
WAT006,SM His N Her Rose Gold Combo Watch Pack (2 N),5500,4799,2399.5,88.87,,,,,,,,,,,,,,,,,,,,
WAT007,SM Ladies Rose Gold Watch (1 N),2999,2599,1299.5,48.13,,,,,,,,,,,,,,,,,,,,
WAT008,SM Ladies Rose Gold Watch (1 N),2599,2249,1124.5,41.65,,,,,,,,,,,,,,,,,,,,
WAT010,SM Ladies Stone Embedded Two Tone Gold Watch (1 N),2599,2249,1124.5,41.65,,,,,,,,,,,,,,WAT009,SM Ladies Stone Embedded Black Dial Watch(1 N),2999,2599,1299.5,48.13,
WAT011,SM Ladies Stone Embedded Two Tone Gold Watch With Mesh Metal Strap (1 N),2999,2599,1299.5,48.13,,,,,,,,,,,,,,,,,,,,